session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
pronoun1,We,784,173,0,0,228,12056,11408,1804,2482,3807,3
pronoun1,We,688,132,0,0,224,12008,12180,2216,2013,3994,187
pronoun1,We,722,141,0,0,198,11780,11876,2376,1897,3469,849
pronoun1,We,744,166,0,0,215,11032,10944,4340,792,186,-82
pronoun1,We,785,193,0,0,214,11776,11268,3588,-3150,-1346,-1676
pronoun1,We,754,176,0,0,183,11252,10768,2984,-2458,-1734,-2236
pronoun1,We,726,171,0,0,144,10664,11332,3648,-2089,-2293,-3998
pronoun1,We,702,147,0,0,146,9548,14356,1300,-1687,-2169,-4435
pronoun1,We,711,170,0,0,149,10228,14988,-104,2103,223,-59
pronoun1,We,751,171,0,0,161,9340,13556,1124,1092,3356,2075
pronoun1,We,752,189,0,0,16,9884,11880,2044,163,4445,1014
pronoun1,We,694,156,0,0,49,9884,13196,3324,2930,5224,653
pronoun1,We,689,177,0,0,43,9720,13008,3856,2770,4341,920
pronoun1,We,691,133,0,0,80,9272,13672,4072,2495,3354,695
pronoun1,We,762,128,0,0,85,8812,13424,4732,1041,125,-292
pronoun1,We,738,158,0,0,111,9536,13020,3452,-1036,-1248,-514
pronoun1,We,701,143,0,0,134,9304,13224,3240,-1229,-2552,-1407
pronoun1,We,672,133,0,0,81,9136,13540,2332,29,-2681,-958
pronoun1,We,644,119,0,0,58,8800,13976,1748,-1018,-1875,-646
pronoun1,We,711,112,0,0,50,9024,13896,2000,248,-576,-467
pronoun1,We,716,131,0,0,38,8808,14532,3372,-1923,114,-879
pronoun1,We,721,115,0,0,0,8120,13604,3820,-2329,-840,-1489
pronoun1,We,635,109,0,0,0,8052,14080,3320,-2712,-2359,-1530
pronoun1,We,486,123,0,0,0,8104,13968,3320,-2070,-2942,-644
pronoun1,We,469,158,0,0,0,7704,15068,3132,-3220,-3985,90
pronoun1,We,325,94,0,0,0,8128,14240,2324,-2225,-2746,-587
pronoun1,We,107,111,0,0,0,8056,15520,2972,-1522,-1789,84
pronoun1,We,0,0,0,0,0,-5288,2892,16268,-28,47,345
pronoun1,We,0,0,0,0,0,-5500,2684,16312,35,85,345
pronoun1,We,0,0,0,0,0,-5344,2628,16124,-159,-257,-284
